Sequence id 	Synonyms	Description 	EC number 	WT expr 1	WT expr 2	CLA50 expr 1	CLA50 expr 2	Fold change	q-value	"significant +, q <0.0005"
SCLAV0915 		Hypothetical protein		45	54	53	56	1.098	1.90E-01	no
SCLAV0916 		Putative phosphotransferase 		67	66	80	88	1.267	1.04E-02	no
SCLAV0917 	fadE	Acyl-CoA dehydrogenase 	1.3.99.3	58	62	111	100	1.756	4.90E-04	yes
SCLAV0918 		TetR-family transcriptional regulator 		126	130	132	142	1.066	1.84E-01	no
SCLAV0919 		Putative oxidoreductase 		54	62	57	73	1.113	1.90E-01	no
SCLAV0920 		DUF1343 domain containing protein		32	41	35	36	0.973	1.09E-01	no
SCLAV0921 		Hypothetical protein		176	179	165	162	0.92	1.28E-03	no
SCLAV0923 		penicillin acylase 		97	102	64	66	0.654	4.90E-04	no
SCLAV0924 		Hypothetical protein		263	264	402	419	1.559	4.90E-04	yes
SCLAV0925 		MerR family transcriptional regulator 		99	75	79	73	0.872	3.21E-02	no
SCLAV0926 		Acyl dehydratase 		97	105	151	162	1.55	4.90E-04	yes
SCLAV0927 		TetR-family transcriptional regulator 		123	129	130	128	1.019	1.88E-01	no
SCLAV0928 	citH	Divalent metal ions/citrate complex secondary transporter 		79	85	61	62	0.745	8.76E-04	no
SCLAV0929 		"Homogentisate 1,2-dioxygenase "	1.13.11.5	123	135	117	121	0.917	1.53E-02	no
SCLAV0930 		GntR-family transcriptional regulator 		43	39	59	40	1.214	1.90E-01	no
SCLAV0931 		L-carnitine dehydratase/bile acid-inducible protein F 		58	63	62	59	1.004	1.56E-01	no
SCLAV0932 		Hypothetical protein		250	260	327	343	1.313	4.90E-04	yes
SCLAV0933 		Hypothetical protein		279	309	366	385	1.276	1.19E-03	no
SCLAV0934 		Secreted hydrolase 		65	69	171	171	2.546	4.90E-04	yes
SCLAV0935 		ATPase 		368	367	352	388	1.007	1.81E-01	no
SCLAV0937 		Putative GntR-family transcriptional regulator 		40	51	49	51	1.101	1.88E-01	no
SCLAV0938 		DUF402 domain containing protein		49	64	90	69	1.414	1.56E-01	no
SCLAV0939 		Integral membrane protein 		80	85	67	72	0.841	3.16E-03	no
SCLAV0940 		integral membrane protein 		37	32	30	29	0.856	2.21E-02	no
SCLAV0941 		secreted protein 		85	92	67	67	0.752	9.98E-04	no
SCLAV0942 		Two-component system response regulator 		71	80	67	73	0.925	3.21E-02	no
SCLAV0944 		Pyridoxamine 5'-phosphate oxidase family protein 		51	51	42	47	0.886	1.04E-02	no
SCLAV0945 		Chitin-binding domain-containing protein 		76	79	64	46	0.711	3.66E-03	no
SCLAV0946 		Putative membrane protein 		56	53	49	48	0.884	1.04E-02	no
SCLAV0947 		Hydrolase 		66	61	96	94	1.495	4.90E-04	yes
SCLAV0948 		ATP/GTP-binding protein 		168	178	198	220	1.207	1.04E-02	no
SCLAV0949 		Hypothetical protein		125	119	148	145	1.197	1.19E-03	no
SCLAV0950 	aac	Aminoglycoside N3-acetyltransferase 		97	112	132	129	1.247	1.04E-02	no
SCLAV0951 		Radical SAM domain-containing protein 		173	174	284	308	1.705	4.90E-04	yes
SCLAV0952 		Hypothetical protein		83	86	98	97	1.156	4.42E-03	no
SCLAV0953 		Hypothetical protein		47	45	60	63	1.346	3.16E-03	no
SCLAV0954 	sprB	Streptogrisin-B 		47	45	54	51	1.136	1.56E-01	no
SCLAV0955 		DUF1684 domain containing protein		102	109	96	101	0.933	2.21E-02	no
SCLAV0956 		Putative FMNH2-utilizing oxygenase 		54	63	60	62	1.046	1.84E-01	no
SCLAV0957 		Putative FMNH2-utilizing oxygenase 		45	45	37	36	0.811	2.19E-03	no
SCLAV0958 		Putative expression regulator 		73	76	55	55	0.737	6.56E-04	no
SCLAV0959 		DUF552 domain containing protein		194	219	140	159	0.721	1.03E-03	no
SCLAV0960 		Acyl CoA dehydrogenase 	1.3.99.7	76	68	93	91	1.27	4.42E-03	no
SCLAV0961 		Multidrug efflux protein 		88	90	76	76	0.854	9.98E-04	no
SCLAV0962 		Integral membrane protein 		323	301	257	254	0.818	7.86E-04	no
SCLAV0965 	ctaD	cytochrome c oxidase subunit I 	1.9.3.1	67	69	47	59	0.785	4.42E-03	no
SCLAV0966 		DeoR family transcriptional regulator 		82	85	73	85	0.955	4.50E-02	no
SCLAV0967 		Putative glycosyl transferase 		60	68	62	79	1.091	1.88E-01	no
SCLAV0968 		Peptidoglycan-binding protein 		78	79	303	300	3.829	4.90E-04	yes
SCLAV0969 		Hypothetical protein		52	55	37	44	0.755	3.66E-03	no
SCLAV0971 	engA	GTP-binding protein engA 		108	102	105	111	1.029	1.88E-01	no
SCLAV0972 	plsC	transferase 		81	81	85	100	1.135	1.84E-01	no
SCLAV0973 	kcy	Cytidylate kinase 	2.7.4.14	132	128	102	109	0.809	8.76E-04	no
SCLAV0974 		Putative prephenate dehydrogenase 		85	86	66	72	0.809	1.28E-03	no
SCLAV0975 		Putative chorismate mutase 	5.4.99.5	92	96	75	74	0.794	7.86E-04	no
SCLAV0976 		Predicted nucleotidyltransferase		74	79	56	57	0.737	8.76E-04	no
SCLAV0977 		glycohydrolase 		35	31	27	29	0.857	2.21E-02	no
SCLAV0978 		Putative DNA hydrolase 		59	57	50	51	0.869	3.66E-03	no
SCLAV0979 		Pseudouridine synthase 	5.4.99.12	127	130	168	176	1.339	4.90E-04	yes
SCLAV0980 		Putative transcriptional regulator 		66	59	43	50	0.744	3.16E-03	no
SCLAV0981 		condensin subunit ScpA 		43	42	25	26	0.597	5.79E-04	no
SCLAV0982 		Hypothetical protein		54	54	61	62	1.129	2.21E-02	no
SCLAV0983 		Partitioning or sporulation protein 		80	81	138	144	1.753	4.90E-04	yes
SCLAV0984 		L-alanine dehydrogenase 	1.4.1.1	117	127	65	62	0.52	4.90E-04	no
SCLAV0985 		Regulatory protein 		28	32	21	26	0.778	1.53E-02	no
SCLAV0986 	nudF	ADP-ribose pyrophosphatase 		223	202	138	145	0.669	4.90E-04	no
SCLAV0987 	pyrG	CTP synthase 	6.3.4.2	66	68	55	66	0.9	3.21E-02	no
SCLAV0988 		Glycosyl hydrolase 		43	40	72	67	1.675	7.86E-04	no
SCLAV0989 		Putative PucR-like transcriptional regulator 		32	31	24	27	0.813	1.04E-02	no
SCLAV0990 		Glycosyl transferase 		54	55	55	61	1.068	1.90E-01	no
SCLAV0991 	recN	DNA repair protein recN 		50	51	60	62	1.22	7.63E-03	no
SCLAV0993 	PPNK2	Probable inorganic polyphosphate/ATP-NAD kinase 2 	2.7.1.23	93	84	88	96	1.043	1.88E-01	no
SCLAV0994 		rRNA methylase 		59	55	51	58	0.959	6.92E-02	no
SCLAV0995 		Hypothetical protein		8	13	9	8	0.848	6.92E-02	no
SCLAV0996 		Hypothetical protein		55	58	73	77	1.333	2.63E-03	no
SCLAV0997 		Putative iron-siderophore uptake ABC transporter ATP-binding protein 	3.6.3.34	32	38	39	40	1.13	1.90E-01	no
SCLAV0998 		hydrolase 		56	49	62	55	1.122	1.90E-01	no
SCLAV0999 		DUF1015 domain containing protein		23	31	25	38	1.148	1.88E-01	no
SCLAV1000 		Hypothetical protein		37	45	19	26	0.537	2.63E-03	no
SCLAV1001 		MSP1_C domain containing protein		58	55	30	36	0.581	8.76E-04	no
SCLAV1002 		Hypothetical protein		26	30	47	44	1.621	3.16E-03	no
SCLAV1003 		3-methyladenine DNA glycosylase 	3.2.2.21	39	42	40	35	0.922	4.50E-02	no
SCLAV1004 		Secreted protein 		1075	1019	566	528	0.523	4.90E-04	no
SCLAV1005 		Phospholipid-binding protein 		470	450	138	147	0.309	4.90E-04	no
SCLAV1006 		endonuclease 		327	323	829	826	2.548	4.90E-04	yes
SCLAV1007 		Integral membrane protein 		25	26	38	42	1.566	4.42E-03	no
SCLAV1008 		Secreted protein 		101	104	266	257	2.557	4.90E-04	yes
SCLAV1009 		Putative membrane protein 		216	214	427	449	2.034	4.90E-04	yes
SCLAV1010 		ABC transporter ATP-binding protein 	3.6.3.34	67	71	46	58	0.753	3.66E-03	no
SCLAV1011 		Hypothetical protein		54	52	54	51	0.996	1.56E-01	no
SCLAV1012 		DUF320 domain containing protein		44	49	24	31	0.583	1.63E-03	no
SCLAV1013 		Putative two-component system response regulator 		34	27	24	20	0.729	1.04E-02	no
SCLAV1014 		Two-component system sensor kinase 		19	27	12	15	0.59	1.04E-02	no
SCLAV1015 		Dehydrogenase 		56	59	47	52	0.857	7.63E-03	no
SCLAV1016 	queA	tRNA ribosyltransferase-isomerase 	5.-.-.-	27	27	7	13	0.379	1.19E-03	no
SCLAV1017 		Predicted protein 		26	22	1	10	0.23	2.19E-03	no
SCLAV1018 		endonuclease 		327	319	837	828	2.578	4.90E-04	yes
SCLAV1019 		ABC transporter ATP-binding protein 		81	84	67	65	0.801	8.76E-04	no
SCLAV1020 	serB	3-phosphoserine phosphatase 	3.1.3.3	108	98	159	168	1.593	4.90E-04	yes
SCLAV1021 		Phosphohistidine phosphatase 	3.1.3.-	88	84	130	136	1.552	4.90E-04	yes
SCLAV1024 		Transmembrane transport protein 		104	111	67	63	0.602	4.90E-04	no
SCLAV1025 		GntR-family transcriptional regulator 		232	241	142	149	0.615	4.90E-04	no
SCLAV1027 	fabI2	enoyl-(acyl carrier protein) reductase 	1.3.1.9	59	59	74	78	1.284	2.19E-03	no
SCLAV1028 		3-oxacyl-(ACP) reductase 	1.1.1.100	67	70	94	92	1.356	5.79E-04	no
SCLAV1029 		Modulator of DNA gyrase 		89	71	67	80	0.918	6.92E-02	no
SCLAV1030 		Predicted Zn-dependent protease-like protein 		111	124	94	99	0.82	3.16E-03	no
SCLAV1031 	syy	Tyrosyl-tRNA synthetase 	6.1.1.1	498	508	531	570	1.094	3.21E-02	no
SCLAV1032 		transglycosylase associated protein 		125	115	96	86	0.758	1.19E-03	no
SCLAV1033 		Putative membrane protein 		240	263	310	326	1.264	1.19E-03	no
SCLAV1034 		Hypothetical protein		155	147	149	177	1.077	1.90E-01	no
SCLAV1035 	moaA	molybdenum cofactor biosynthesis protein A 		127	126	127	123	0.989	1.09E-01	no
SCLAV1037 		transmembrane transport protein 		25	24	20	15	0.715	1.04E-02	no
SCLAV1038 		Integral membrane protein 		77	72	70	64	0.9	1.53E-02	no
SCLAV1039 		Putative secreted subtilisin-like serine protease 		72	78	93	93	1.239	3.66E-03	no
SCLAV1040 		YhhN domain containing protein		71	71	87	107	1.356	3.21E-02	no
SCLAV1041 		sterol desaturase-related protein 		94	101	112	122	1.204	2.21E-02	no
SCLAV1042 		Putative membrane protein 		62	70	65	54	0.903	3.21E-02	no
SCLAV1043 		DNA polymerase III subunit epsilon 	2.7.7.7	112	117	102	108	0.916	7.63E-03	no
SCLAV1044 		Hypothetical protein		137	154	101	103	0.704	7.86E-04	no
SCLAV1045 		Putative membrane protein 		85	85	51	63	0.671	1.03E-03	no
SCLAV1046 		Putative glycosyl hydrolase 		65	57	30	37	0.554	9.98E-04	no
SCLAV1047 		oxidoreductase 		48	51	51	48	1	1.56E-01	no
SCLAV1048 		Putative membrane protein 		183	194	181	185	0.971	4.50E-02	no
SCLAV1049 		Hypothetical protein		113	90	67	80	0.727	4.42E-03	no
SCLAV1050 		Hypothetical protein		40	46	22	24	0.53	9.98E-04	no
SCLAV1051 		Putative stress-like protein 		122	119	72	71	0.596	4.90E-04	no
SCLAV1053 		Enoyl-CoA hydratase/isomerase 	4.2.1.17	176	179	195	181	1.059	1.84E-01	no
SCLAV1055 		Transcriptional regulator 		1120	1064	1768	1503	1.498	1.19E-03	no
SCLAV1056 		ABC transporter ATP binding protein 		149	160	229	233	1.493	4.90E-04	yes
SCLAV1057 		Hypothetical protein		71	78	75	75	1.008	1.81E-01	no
SCLAV1058 		secreted protein 		74	75	58	59	0.783	6.56E-04	no
SCLAV1059 	fucA	aldolase 	4.1.2.17	82	90	75	88	0.945	6.92E-02	no
SCLAV1060 		Putative low-affinity phosphate transport protein 		93	93	89	97	1	1.56E-01	no
SCLAV1061 		secreted protein 		67	72	44	49	0.669	8.76E-04	no
SCLAV1062 	cobD	Putative cobalamin biosynthesis protein 	6.3.1.10	41	42	45	41	1.046	1.84E-01	no
SCLAV1063 	cobQ1	Cobyric acid synthase 	6.3.5.10	49	51	57	50	1.078	1.88E-01	no
SCLAV1064 	chlI	Putative magnesium-chelatase subunit 	6.6.1.1	68	71	79	80	1.136	2.21E-02	no
SCLAV1065 	cobO	"cob(I)yrinic acid a,c-diamide adenosyltransferase "	2.5.1.17	81	75	96	108	1.305	1.04E-02	no
SCLAV1066 		"Putative cobyrinic acid a,c-diamide synthase "	6.3.5.9	99	101	108	114	1.107	4.50E-02	no
SCLAV1067 		Putative permease 		50	68	39	43	0.701	5.85E-03	no
SCLAV1068 	cobJ	Putative precorrin methylase 	2.1.1.131	119	129	98	95	0.779	9.98E-04	no
SCLAV1070 		Putative aminotransferase 	2.6.1.9	72	73	85	93	1.226	1.53E-02	no
SCLAV1071 		Putative secreted protein 		49	53	39	48	0.852	2.21E-02	no
SCLAV1073 		amidohydrolase 3		48	51	36	37	0.737	1.19E-03	no
SCLAV1075 	ectA	"L-2,4-diaminobutyric acid acetyltransferase "	2.3.1.178	67	79	53	56	0.753	3.16E-03	no
SCLAV1076 	ectB	Diaminobutyrate--2-oxoglutarate transaminase 	2.6.1.76	40	43	37	39	0.915	3.21E-02	no
SCLAV1077 	ectC	L-ectoine synthase 	4.2.1.108	125	126	105	98	0.812	8.76E-04	no
SCLAV1078 	ectD	Ectoine hydroxylase 	1.14.11.-	49	50	38	39	0.775	1.19E-03	no
SCLAV1079 		NADH:flavin oxidoreductase/NADH oxidase 	1.-.-.-	80	77	57	61	0.758	8.76E-04	no
SCLAV1080 		Putative MarR-family transcriptional regulator 		167	175	147	161	0.902	5.85E-03	no
SCLAV1081 		aminotransferase class V		87	82	99	92	1.128	1.09E-01	no
SCLAV1082 		DUF1349 domain containing protein		63	80	69	70	0.973	1.09E-01	no
SCLAV1083 		Putative aldehyde dehydrogenase 		28	38	24	28	0.784	2.21E-02	no
SCLAV1084 		IclR-family transcriptional regulator 		69	76	46	59	0.731	3.66E-03	no
SCLAV1085 		two-component system sensor kinase 		71	76	80	75	1.049	1.90E-01	no
SCLAV1086 		two-component system response regulator 		50	52	50	49	0.97	6.92E-02	no
SCLAV1087 		Putative penicillin-binding protein 		192	182	129	129	0.688	4.90E-04	no
SCLAV1088 		Dihydroxy-acid dehydratase 	4.2.1.9	67	80	50	63	0.77	7.63E-03	no
SCLAV1089 		putative dihydrodipicolinate synthase 		40	43	37	40	0.924	4.50E-02	no
SCLAV1090 		Putative alanine-rich protein 		64	66	54	50	0.799	1.63E-03	no
SCLAV1091 	kdgD	Probable 5-dehydro-4-deoxyglucarate dehydratase 1 	4.2.1.41	39	47	40	43	0.976	1.09E-01	no
SCLAV1092 		Hypothetical protein		70	70	91	69	1.153	1.90E-01	no
SCLAV1094 		Putative transport associated protein 		359	347	200	208	0.578	4.90E-04	no
SCLAV1095 	acd	1-aminocyclopropane-1-carboxylate deaminase 	3.5.99.7	76	72	94	104	1.333	3.66E-03	no
SCLAV1096 		"transcriptional regulator, GntR family protein "		67	86	89	97	1.212	1.81E-01	no
SCLAV1098 		Secreted protein 		70	65	94	97	1.416	7.86E-04	no
SCLAV1099 		D-alanyl-D-alanine carboxypeptidase 		48	59	55	57	1.054	1.84E-01	no
SCLAV1100 		Response regulator with CheY-like receiver domain and winged-helix DNA-binding domain 		39	32	30	39	0.971	1.56E-01	no
SCLAV1101 		Sensor protein 		78	83	64	66	0.811	1.28E-03	no
SCLAV1102 		Hypothetical protein		354	388	176	212	0.523	4.90E-04	no
SCLAV1103 		Large secreted protein 		68	70	68	73	1.019	1.84E-01	no
SCLAV1107 		Putative DNA-binding protein 		66	77	87	83	1.193	1.09E-01	no
SCLAV1109 		Hypothetical protein		86	90	71	70	0.8	8.76E-04	no
SCLAV1111 		EcaB-like monooxygenase		67	57	66	65	1.063	1.88E-01	no
SCLAV1112 		Putative dihydrodipicolinate synthase 	4.2.1.52	40	62	57	57	1.111	1.88E-01	no
SCLAV1113 		Viral protein TPX 		58	63	62	65	1.056	1.88E-01	no
SCLAV1115 	dapD	Transferase 	2.3.1.117	58	70	72	75	1.151	1.84E-01	no
SCLAV1116 		DUF59 domain containing protein		544	512	776	751	1.446	4.90E-04	yes
SCLAV1117 		SUF system FeS assembly protein 		574	556	936	878	1.605	4.90E-04	yes
SCLAV1118 		Aminotransferase 	2.8.1.7 4.4.1.16	581	584	731	752	1.273	4.90E-04	yes
SCLAV1119 		ABC transporter ATP-binding subunit 		318	333	383	367	1.153	1.63E-03	no
SCLAV1120 	hcaC	Ferredoxin subunit of phenylpropionate dioxygenase 		422	394	440	483	1.131	4.50E-02	no
SCLAV1121 		Iron-regulated ABC-type transporter 		540	535	629	609	1.152	4.90E-04	yes
SCLAV1123 	sufB	Iron-regulated ABC-type transporter 		794	760	883	835	1.105	7.63E-03	no
SCLAV1124 		Putative DNA-binding protein 		780	663	738	875	1.118	1.88E-01	no
SCLAV1125 		Putative ABC transporter ATP-binding protein 		60	59	66	65	1.098	1.09E-01	no
SCLAV1126 		ABC transporter permease protein 		64	68	61	65	0.95	4.50E-02	no
SCLAV1127 		Hypothetical protein		55	48	62	59	1.177	1.56E-01	no
SCLAV1128 		Cytochrome c oxidase subunit XV assembly protein 		125	135	94	94	0.718	5.79E-04	no
SCLAV1129 		"Predicted TIM-barrel fold metal-dependent hydrolase, COG2159 "		45	47	42	43	0.922	2.21E-02	no
SCLAV1130 		Hypothetical protein		94	81	130	114	1.394	7.63E-03	no
SCLAV1131 		Cytochrome oxidase assembly factor 		89	91	92	98	1.052	1.90E-01	no
SCLAV1133 		Transketolase 	2.2.1.1	227	230	199	215	0.908	3.66E-03	no
SCLAV1134 	tal	Transaldolase 2 	2.2.1.2	111	108	133	122	1.162	2.21E-02	no
SCLAV1135 		Glucose-6-phosphate 1-dehydrogenase 	1.1.1.49	165	171	195	202	1.179	1.03E-03	no
SCLAV1136 	opcA	Oxppcycle protein 		180	185	164	164	0.899	9.98E-04	no
SCLAV1138 		Hypothetical protein		125	116	108	104	0.877	3.66E-03	no
SCLAV1140 		Membrane-flanked domain-containing protein 		105	108	88	89	0.828	7.86E-04	no
SCLAV1141 		Membrane-flanked domain-containing protein 		49	57	49	50	0.927	4.50E-02	no
SCLAV1142 	G6PI	Glucose-6-phosphate isomerase 	5.3.1.9	78	87	67	74	0.855	7.63E-03	no
SCLAV1144 		Electron transport protein 		180	209	452	457	2.339	4.90E-04	yes
SCLAV1146 	tpiA	Triosephosphate isomerase 	5.3.1.1	419	396	305	346	0.798	1.03E-03	no
SCLAV1147 	pgk	Phosphoglycerate kinase 	2.7.2.3	335	303	239	245	0.758	7.86E-04	no
SCLAV1148 	G3P	Glyceraldehyde-3-phosphate dehydrogenase 	1.2.1.12	1608	1372	1261	1177	0.818	3.16E-03	no
SCLAV1149 		Zinc-binding carboxypeptidase 		61	62	85	79	1.33	2.19E-03	no
SCLAV1150 		Sporulation transcription regulator whiA 		255	266	193	209	0.771	4.90E-04	no
SCLAV1151 		UPF0052 domain containing protein		311	328	213	228	0.69	4.90E-04	no
SCLAV1152 		Predicted P-loop-containing kinase		225	238	136	150	0.618	4.90E-04	no
SCLAV1153 		UvrABC system protein C 		423	415	215	221	0.521	4.90E-04	no
SCLAV1154 		Hypothetical protein		74	71	51	58	0.755	1.28E-03	no
SCLAV1155 		Hypothetical protein		57	59	45	50	0.82	3.66E-03	no
SCLAV1156 		Hypothetical protein		57	58	62	57	1.035	1.84E-01	no
SCLAV1157 		Iron sulfur protein 		58	64	47	67	0.93	1.09E-01	no
SCLAV1158 		fructokinase 	2.7.1.4	75	74	69	64	0.895	7.63E-03	no
SCLAV1159 		UvrABC system protein A 		137	125	135	143	1.058	1.90E-01	no
SCLAV1160 		Mycothiol-dependent maleylpyruvate isomerase 		50	51	48	47	0.946	3.21E-02	no
SCLAV1161 		Zn-dependent hydrolase 		58	66	102	99	1.611	4.90E-04	yes
SCLAV1162 		putative integral membrane export protein 		127	137	253	255	1.922	4.90E-04	yes
SCLAV1164 		Putative export associated protein 		50	52	56	56	1.099	1.81E-01	no
SCLAV1165 		export associated protein 		135	149	157	176	1.171	6.92E-02	no
SCLAV1166 		tellurium resistance protein TerZ		198	152	161	175	0.958	1.09E-01	no
SCLAV1167 		UvrABC system protein B 		316	311	116	134	0.398	4.90E-04	no
SCLAV1168 		Integral membrane protein 		47	44	44	43	0.953	6.92E-02	no
SCLAV1169 		secreted hydrolase 	3.1.4.46	73	80	93	107	1.308	2.21E-02	no
SCLAV1170 	ogt3	Putative methylated-DNA--protein-cysteine S-methyltransferase 	2.1.1.63	209	207	130	137	0.643	4.90E-04	no
SCLAV1171 		major facilitator superfamily permease 		111	99	80	83	0.773	1.63E-03	no
SCLAV1172 	indA	Putative pigment biosynthetic protein 		59	57	57	52	0.939	4.50E-02	no
SCLAV1173 		Sugar kinase 		81	63	70	58	0.882	4.50E-02	no
SCLAV1174 		Cupin domain protein 		105	115	93	107	0.911	2.21E-02	no
SCLAV1175 	cyp23	Cytochrome P450 hydroxylase 	1.14.-.-	55	63	43	46	0.756	3.16E-03	no
SCLAV1177 		zinc finger SWIM domain protein		93	84	48	45	0.527	4.90E-04	no
SCLAV1178 		SNF2/RAD54 family helicase 		211	200	109	113	0.541	4.90E-04	no
SCLAV1179 		membrane protease subunit stomatin/prohibitin-like protein 		81	83	53	64	0.713	1.28E-03	no
SCLAV1180 		Acyltransferase 		57	56	61	63	1.102	1.56E-01	no
SCLAV1181 		Integral membrane protein 		129	139	105	115	0.822	2.19E-03	no
SCLAV1183 		Dephospho-CoA kinase 	2.7.1.24	478	479	444	468	0.952	5.85E-03	no
SCLAV1184 		ATP-grasp superfamily enzyme 		827	736	814	807	1.037	1.90E-01	no
SCLAV1186 		Putative dephospho-CoA kinase 	2.7.1.24	199	239	179	222	0.917	4.50E-02	no
SCLAV1188 	rpsA	30S ribosomal protein S1 		1246	1133	1520	1321	1.194	3.21E-02	no
SCLAV1189 		Putative methyltransferase 		82	78	116	111	1.419	4.90E-04	yes
SCLAV1190 		putative ATP-dependent RNA helicase 	3.6.1.-	83	99	60	71	0.721	3.16E-03	no
SCLAV1191 		Hypothetical protein		58	59	42	43	0.723	6.56E-04	no
SCLAV1193 		Putative secreted protein 		132	151	237	223	1.622	4.90E-04	yes
SCLAV1194 		DNA polymerase I 	2.7.7.7	156	154	86	88	0.56	4.90E-04	no
SCLAV1195 		Formate dehydrogenase 	1.2.1.2	153	152	83	92	0.573	4.90E-04	no
SCLAV1196 		4HBT domain containing protein		94	92	133	134	1.44	4.90E-04	yes
SCLAV1197 		Branched chain amino acid binding protein 		64	66	87	92	1.367	8.76E-04	no
SCLAV1198 		Branched-chain amino acid ABC transporter permease 		40	43	38	33	0.856	1.53E-02	no
SCLAV1199 		Branched chain amino acid transport permease 		71	69	46	52	0.696	8.76E-04	no
SCLAV1200 		Putative branched-chain amino acid ABC transporter ATP-binding protein 		32	39	27	28	0.776	1.04E-02	no
SCLAV1201 		Branched-chain amino acid transport ATP-binding protein 		43	50	29	27	0.6	1.28E-03	no
SCLAV1202 		Two-component system response regulator 		90	100	94	107	1.059	1.88E-01	no
SCLAV1203 		Pyruvate kinase 	2.7.1.40	192	191	711	681	3.637	4.90E-04	yes
SCLAV1204 		DUF541 domain containing protein		50	53	51	48	0.961	6.92E-02	no
SCLAV1205 		Monooxygenase 		41	41	19	18	0.449	4.90E-04	no
SCLAV1206 		Amino acid decarboxylase 		71	82	50	56	0.695	1.63E-03	no
SCLAV1207 		Putative aminopeptidase N 	3.4.11.2	66	79	84	72	1.081	1.88E-01	no
SCLAV1208 		N-acetylmuramoyl-L-alanine amidase 		28	29	26	33	1.039	1.81E-01	no
SCLAV1209 	aroH2	chorismate mutase 	5.4.99.5	28	30	35	45	1.395	1.56E-01	no
SCLAV1210 		Putative AraC-family transcriptional regulator 		62	60	52	62	0.932	4.50E-02	no
SCLAV1211 		Beta-galactosidase 	3.2.1.23	82	86	92	96	1.124	6.92E-02	no
SCLAV1212 		Putative membrane protein 		31	31	33	40	1.179	1.90E-01	no
SCLAV1213 	sprT	Trypsin-like protease 		28	31	62	64	2.128	4.90E-04	yes
SCLAV1214 		Hypothetical protein		181	188	153	167	0.869	2.63E-03	no
SCLAV1215 		short chain dehydrogenase 		51	58	64	57	1.117	1.90E-01	no
SCLAV1216 		Short chain dehydrogenase 		34	39	40	34	1.005	1.81E-01	no
SCLAV1217 		enoyl-CoA hydratase 	4.2.1.17	45	49	68	67	1.439	1.03E-03	no
SCLAV1218 	cotA	Coenzyme A transferase 	2.8.3.-	38	37	47	43	1.194	1.09E-01	no
SCLAV1219 		Putative CoA transferase beta subunit 		63	62	69	74	1.146	6.92E-02	no
SCLAV1220 	fabK	Enoyl-ACP reductase II 		41	37	41	44	1.096	1.90E-01	no
SCLAV1222 		Hypothetical protein		49	45	75	75	1.598	4.90E-04	yes
SCLAV1223 	fadA3	Putative 3-ketoacyl-CoA thiolase/acetyl-CoA acetyltransferase 	2.3.1.9	138	136	131	123	0.926	7.63E-03	no
SCLAV1224 		TetR-family transcriptional regulator 		79	84	85	86	1.052	1.90E-01	no
SCLAV1225 		short chain dehydrogenase 	1.1.1.100	59	51	58	63	1.09	1.90E-01	no
SCLAV1226 	fadE	Putative acyl-CoA dehydrogenase 		80	83	96	106	1.238	1.04E-02	no
SCLAV1227 	fadE	Acyl-CoA dehydrogenase 		112	107	113	131	1.11	1.84E-01	no
SCLAV1228 		Arabinose efflux permease family protein 		79	73	106	108	1.405	5.79E-04	no
SCLAV1229 		Hypothetical protein		73	72	77	76	1.058	1.84E-01	no
SCLAV1230 	gltD	Glutamate synthase subunit beta 	1.4.1.13 1.4.1.14	365	332	376	386	1.094	1.09E-01	no
SCLAV1231 		Glutamate synthase 	1.4.1.13 1.4.1.14	65	65	181	181	2.793	4.90E-04	yes
SCLAV1232 		Putative membrane protein 		262	261	425	415	1.608	4.90E-04	yes
SCLAV1233 		putative ADP-ribosylglycohydrolase-family protein 		60	59	64	75	1.173	1.81E-01	no
SCLAV1234 		Putative ADP-ribosylglycohydrolase-family protein 		44	41	57	58	1.35	2.63E-03	no
SCLAV1235 		Putative ADP-ribosylglycohydrolase-family protein 		59	63	60	68	1.049	1.88E-01	no
SCLAV1236 		ADP-ribosylglycohydrolase 		47	54	47	54	1.004	1.56E-01	no
SCLAV1237 		Putative ribokinase 	2.7.1.15	23	38	33	33	1.086	1.84E-01	no
SCLAV1238 		Putative acyl-CoA transferase 		102	115	137	145	1.297	3.66E-03	no
SCLAV1239 		Putative citrate lyase beta chain 	4.1.3.6	78	89	102	104	1.227	1.53E-02	no
SCLAV1240 		prolipoprotein diacylglyceryl transferase 	2.4.99.-	254	232	269	269	1.107	4.50E-02	no
SCLAV1241 		Putative integral membrane protein 		109	106	71	72	0.667	4.90E-04	no
SCLAV1242 		Hypothetical protein		90	85	61	65	0.72	7.86E-04	no
SCLAV1243 	trpA	Tryptophan synthase alpha chain 	4.2.1.20	259	254	152	156	0.6	4.90E-04	no
SCLAV1244 	trpB	Tryptophan synthase beta chain 	4.2.1.20	276	266	142	153	0.545	4.90E-04	no
SCLAV1246 	trpC	Indole-3-glycerol phosphate synthase 	4.1.1.48	364	341	244	250	0.701	4.90E-04	no
SCLAV1247 		Putative membrane protein 		131	130	105	123	0.874	7.63E-03	no
SCLAV1248 		Hypothetical protein		96	106	83	94	0.871	1.04E-02	no
SCLAV1249 		Putative membrane protein 		52	62	34	43	0.678	3.66E-03	no
SCLAV1250 		Anthranilate synthase component I 	4.1.3.27	55	56	39	43	0.741	1.19E-03	no
